model_short,model_full,asset,asset_type,parent_element,stride_letter,stride_label,scenario,scenario_id,to_be_assessed
Medini,Medini Analyze (tool-generated),Visual + audio alert,component,Visual + audio alert,R,Repudiation,Repudiation of Visual + audio alert,T183,true
Medini,Medini Analyze (tool-generated),Visual + audio alert::alert_in,port,Visual + audio alert,I,Information Disclosure,Information Disclosure of alert_in,T184,true
Medini,Medini Analyze (tool-generated),Visual + audio alert::alert_in,port,Visual + audio alert,T,Tampering,Tampering of alert_in,T185,true
Medini,Medini Analyze (tool-generated),Visual + audio alert::alert_in,port,Visual + audio alert,D,Denial of Service,Denial of Service of alert_in,T186,true
Medini,Medini Analyze (tool-generated),Gemini API,component,Gemini API,I,Information Disclosure,Information Disclosure of Gemini API,T187,true
Medini,Medini Analyze (tool-generated),Gemini API,component,Gemini API,T,Tampering,Tampering of Gemini API,T188,true
Medini,Medini Analyze (tool-generated),Gemini API,component,Gemini API,D,Denial of Service,Denial of Service of Gemini API,T189,true
Medini,Medini Analyze (tool-generated),Gemini API,component,Gemini API,S,Spoofing,Spoofing of Gemini API,T190,true
Medini,Medini Analyze (tool-generated),Gemini API,component,Gemini API,E,Elevation of Privilege,Elevation of Privilege of Gemini API,T191,true
Medini,Medini Analyze (tool-generated),Gemini API,component,Gemini API,R,Repudiation,Repudiation of Gemini API,T192,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_in,port,Gemini API,I,Information Disclosure,Information Disclosure of mllm_in,T193,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_in,port,Gemini API,T,Tampering,Tampering of mllm_in,T194,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_in,port,Gemini API,D,Denial of Service,Denial of Service of mllm_in,T195,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_in_2,port,Gemini API,I,Information Disclosure,Information Disclosure of mllm_in_2,T196,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_in_2,port,Gemini API,T,Tampering,Tampering of mllm_in_2,T197,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_in_2,port,Gemini API,D,Denial of Service,Denial of Service of mllm_in_2,T198,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_link_1,port,Gemini API,I,Information Disclosure,Information Disclosure of mllm_link_1,T199,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_link_1,port,Gemini API,T,Tampering,Tampering of mllm_link_1,T200,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_link_1,port,Gemini API,D,Denial of Service,Denial of Service of mllm_link_1,T201,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_link_2,port,Gemini API,I,Information Disclosure,Information Disclosure of mllm_link_2,T202,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_link_2,port,Gemini API,T,Tampering,Tampering of mllm_link_2,T203,true
Medini,Medini Analyze (tool-generated),Gemini API::mllm_link_2,port,Gemini API,D,Denial of Service,Denial of Service of mllm_link_2,T204,true
Medini,Medini Analyze (tool-generated),"PKI, operator",component,"PKI, operator",I,Information Disclosure,"Information Disclosure of PKI, operator",T205,true
Medini,Medini Analyze (tool-generated),"PKI, operator",component,"PKI, operator",T,Tampering,"Tampering of PKI, operator",T206,true
Medini,Medini Analyze (tool-generated),"PKI, operator",component,"PKI, operator",D,Denial of Service,"Denial of Service of PKI, operator",T207,true
Medini,Medini Analyze (tool-generated),"PKI, operator",component,"PKI, operator",S,Spoofing,"Spoofing of PKI, operator",T208,true
Medini,Medini Analyze (tool-generated),"PKI, operator",component,"PKI, operator",E,Elevation of Privilege,"Elevation of Privilege of PKI, operator",T209,true
Medini,Medini Analyze (tool-generated),"PKI, operator",component,"PKI, operator",R,Repudiation,"Repudiation of PKI, operator",T210,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_in",port,"PKI, operator",I,Information Disclosure,Information Disclosure of uu_in,T211,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_in",port,"PKI, operator",T,Tampering,Tampering of uu_in,T212,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_in",port,"PKI, operator",D,Denial of Service,Denial of Service of uu_in,T213,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_in_2",port,"PKI, operator",I,Information Disclosure,Information Disclosure of uu_in_2,T214,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_in_2",port,"PKI, operator",T,Tampering,Tampering of uu_in_2,T215,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_in_2",port,"PKI, operator",D,Denial of Service,Denial of Service of uu_in_2,T216,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_link_rsu",port,"PKI, operator",I,Information Disclosure,Information Disclosure of uu_link_rsu,T217,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_link_rsu",port,"PKI, operator",T,Tampering,Tampering of uu_link_rsu,T218,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_link_rsu",port,"PKI, operator",D,Denial of Service,Denial of Service of uu_link_rsu,T219,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_modem_out",port,"PKI, operator",I,Information Disclosure,Information Disclosure of uu_modem_out,T220,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_modem_out",port,"PKI, operator",T,Tampering,Tampering of uu_modem_out,T221,true
Medini,Medini Analyze (tool-generated),"PKI, operator::uu_modem_out",port,"PKI, operator",D,Denial of Service,Denial of Service of uu_modem_out,T222,true
Medini,Medini Analyze (tool-generated),uu_modem_out ↔ uu_modem,data flow,uu_modem_out,I,Information Disclosure,Information Disclosure of uu_modem_out ↔ uu_modem,T223,true
Medini,Medini Analyze (tool-generated),uu_modem_out ↔ uu_modem,data flow,uu_modem_out,T,Tampering,Tampering of uu_modem_out ↔ uu_modem,T224,true
Medini,Medini Analyze (tool-generated),uu_modem_out ↔ uu_modem,data flow,uu_modem_out,D,Denial of Service,Denial of Service of uu_modem_out ↔ uu_modem,T225,true
